"student";"snapshot";"file";"line";"error"
"04810dc49618a521e56f3207dc85b34ec4e67375";"2020-10-25T19_58_59.914Z";"Body.java";"33";" cannot find symbol
        this.mass = mass;
            ^
  symbol"
"04810dc49618a521e56f3207dc85b34ec4e67375";"2020-10-25T19_58_59.914Z";"Body.java";"34";" cannot find symbol
        this.posX = posX;
            ^
  symbol"
"04810dc49618a521e56f3207dc85b34ec4e67375";"2020-10-25T19_58_59.914Z";"Body.java";"35";" cannot find symbol
        this.posY = posY;
            ^
  symbol"
"04810dc49618a521e56f3207dc85b34ec4e67375";"2020-10-25T19_58_59.914Z";"Body.java";"36";" cannot find symbol
        this.velX = velX;
            ^
  symbol"
"04810dc49618a521e56f3207dc85b34ec4e67375";"2020-10-25T19_58_59.914Z";"Body.java";"37";" cannot find symbol
        this.velY = velY;
            ^
  symbol"
"04810dc49618a521e56f3207dc85b34ec4e67375";"2020-10-25T19_58_59.914Z";"Body.java";"38";" cannot find symbol
        this.imageFile = imageFile;
            ^
  symbol"
"04810dc49618a521e56f3207dc85b34ec4e67375";"2020-10-26T17_33_09.828Z";"Space.java";"35";" cannot find symbol
            bodies[i] = new Body(mass, px, py, vx, vy, img);
                                 ^
  symbol"
"04810dc49618a521e56f3207dc85b34ec4e67375";"2020-10-26T17_33_09.828Z";"Space.java";"35";" cannot find symbol
            bodies[i] = new Body(mass, px, py, vx, vy, img);
                                       ^
  symbol"
"04810dc49618a521e56f3207dc85b34ec4e67375";"2020-10-26T17_33_09.828Z";"Space.java";"35";" cannot find symbol
            bodies[i] = new Body(mass, px, py, vx, vy, img);
                                           ^
  symbol"
"04810dc49618a521e56f3207dc85b34ec4e67375";"2020-10-26T17_33_09.828Z";"Space.java";"35";" cannot find symbol
            bodies[i] = new Body(mass, px, py, vx, vy, img);
                                               ^
  symbol"
"04810dc49618a521e56f3207dc85b34ec4e67375";"2020-10-26T17_33_09.828Z";"Space.java";"35";" cannot find symbol
            bodies[i] = new Body(mass, px, py, vx, vy, img);
                                                   ^
  symbol"
"04810dc49618a521e56f3207dc85b34ec4e67375";"2020-10-26T17_33_09.828Z";"Space.java";"35";" cannot find symbol
            bodies[i] = new Body(mass, px, py, vx, vy, img);
                                                       ^
  symbol"
