student;snapshot;file;line;error
B;1;Caesar.java;39;typeX
B;5;Caesar.java;39;typeY
C;1;Caesar.java;162;typeX
C;4;Caesar.java;201;typeX
D;5;Caesar.java;183;typeX
D;6;Caesar.java;183;typeY
E;4;Caesar.java;212;typeX
E;5;Caesar.java;212;typeX
F;1;Caesar.java;162;typeX
F;3;Caesar.java;201;typeX
F;4;Caesar.java;201;typeX
G;1;Caesar.java;162;typeX
G;3;Caesar.java;201;typeX
G;4;Caesar.java;201;typeY
H;1;Caesar.java;162;typeY
H;3;Caesar.java;201;typeX
H;4;Caesar.java;201;typeX
I;1;Caesar.java;162;typeX
I;3;Caesar.java;201;typeY
I;4;Caesar.java;201;typeZ
