student;snapshot;datetime;exception;class;method;line;secondary_class;secondary_method;secondary_line
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-09T20_50_39.346Z;2020-11-09 20:50:39;java.lang.NullPointerException;Tour;insertInOrder;62;TourTest;testInOrderDistance;82
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-09T20_50_39.346Z;2020-11-09 20:50:39;java.lang.NullPointerException;Tour;insertInOrder;62;TourTest;testInOrderToString;100
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-09T20_50_39.346Z;2020-11-09 20:50:39;java.lang.NullPointerException;Tour;insertInOrder;62;TourTest;testInOrderSize;64
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-09T20_50_39.346Z;2020-11-09 20:50:39;java.lang.NullPointerException;Tour;insertInOrder;62;TourTest;testInOrderDistance;82
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-09T20_50_39.346Z;2020-11-09 20:50:39;java.lang.NullPointerException;Tour;insertInOrder;62;TourTest;testInOrderToString;100
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-09T20_50_39.346Z;2020-11-09 20:50:39;java.lang.NullPointerException;Tour;insertInOrder;62;TourTest;testInOrderSize;64
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-09T22_40_32.646Z;2020-11-09 22:40:32;java.lang.NullPointerException;Tour;size;56;TourTest;testSmallestSize;173
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-09T22_40_32.646Z;2020-11-09 22:40:32;java.lang.NullPointerException;Tour;size;56;TourTest;testNearestSize;120
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-09T22_40_32.646Z;2020-11-09 22:40:32;java.lang.NullPointerException;Tour;size;56;TourTest;testSmallestSize;173
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-09T22_40_32.646Z;2020-11-09 22:40:32;java.lang.NullPointerException;Tour;size;56;TourTest;testNearestSize;120
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-09T22_40_32.646Z;2020-11-09 22:40:32;java.lang.NullPointerException;Tour;size;56;TourTest;testSmallestSize;173
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-09T22_40_32.646Z;2020-11-09 22:40:32;java.lang.NullPointerException;Tour;size;56;TourTest;testSmallestSize;173
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-09T22_40_32.646Z;2020-11-09 22:40:32;java.lang.NullPointerException;Tour;size;56;TourTest;testNearestSize;120
