student;snapshot;c_error;r_error;t_failed;t_success
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-07T01_36_28.096Z;0;0;1;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-07T01_38_33.378Z;1;0;0;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-07T01_39_04.412Z;1;0;0;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-07T19_22_37.989Z;0;0;34;3
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-07T22_57_51.343Z;1;0;0;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-09T20_50_39.346Z;0;6;34;3
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-09T20_54_07.496Z;0;0;1;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-09T21_07_30.790Z;0;0;34;3
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-09T21_22_44.265Z;0;0;34;3
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-09T21_35_02.314Z;0;0;31;6
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-09T22_40_32.646Z;0;9;20;17
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-10T19_39_58.409Z;0;9;20;17
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-10T20_01_09.246Z;0;0;17;20
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-10T20_12_48.470Z;0;0;17;20
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-10T21_11_31.874Z;0;0;0;37
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-11T15_13_39.303Z;0;0;0;37
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-11T15_41_35.957Z;0;0;0;37
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-12-17T17_31_31.952Z;0;0;0;37
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-11T00_24_51.282Z;1;0;0;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-11T00_28_59.504Z;1;0;0;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-11T00_49_22.174Z;1;0;0;0
