"student";"snapshot";"datetime"
"008a13042777e1aaca446a68fbc5b3877e6ed232";"2020-11-13T23:36:17.319Z";2020-11-13 23:36:17
"008a13042777e1aaca446a68fbc5b3877e6ed232";"2020-11-13T23:40:35.184Z";2020-11-13 23:40:35
"008a13042777e1aaca446a68fbc5b3877e6ed232";"2020-11-13T23:40:50.656Z";2020-11-13 23:40:50
"008a13042777e1aaca446a68fbc5b3877e6ed232";"2020-11-13T23:41:09.942Z";2020-11-13 23:41:09
"008a13042777e1aaca446a68fbc5b3877e6ed232";"2020-11-13T23:41:16.960Z";2020-11-13 23:41:16
"008a13042777e1aaca446a68fbc5b3877e6ed232";"2020-11-13T23:53:21.573Z";2020-11-13 23:53:21
"008a13042777e1aaca446a68fbc5b3877e6ed232";"2020-11-13T23:54:09.258Z";2020-11-13 23:54:09
"008a13042777e1aaca446a68fbc5b3877e6ed232";"2020-11-13T23:54:15.380Z";2020-11-13 23:54:15
"008a13042777e1aaca446a68fbc5b3877e6ed232";"2020-11-14T00:10:48.254Z";2020-11-14 00:10:48
"008a13042777e1aaca446a68fbc5b3877e6ed232";"2020-11-15T18:28:07.083Z";2020-11-15 18:28:07
"008a13042777e1aaca446a68fbc5b3877e6ed232";"2020-11-15T20:20:54.861Z";2020-11-15 20:20:54
"008a13042777e1aaca446a68fbc5b3877e6ed232";"2020-11-15T20:21:09.835Z";2020-11-15 20:21:09
"008a13042777e1aaca446a68fbc5b3877e6ed232";"2020-11-15T20:36:44.598Z";2020-11-15 20:36:44
"008a13042777e1aaca446a68fbc5b3877e6ed232";"2020-11-16T01:04:24.612Z";2020-11-16 01:04:24
"008a13042777e1aaca446a68fbc5b3877e6ed232";"2020-11-17T02:01:17.394Z";2020-11-17 02:01:17
"008a13042777e1aaca446a68fbc5b3877e6ed232";"2020-11-18T00:42:25.202Z";2020-11-18 00:42:25
"008a13042777e1aaca446a68fbc5b3877e6ed232";"2020-11-18T00:49:10.947Z";2020-11-18 00:49:10
