"student";"snapshot";"file";"line";"error"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-13T01_11_41.009Z";"hw4.java";"19";" class, interface, or enum expected
public static int gcd(int a, int b) {
              ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-13T01_11_41.009Z";"hw4.java";"24";" class, interface, or enum expected
    }
    ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-13T01_11_41.009Z";"hw4.java";"28";" class, interface, or enum expected
    }
    ^
3 errors
"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-13T03_51_46.434Z";"hw4.java";"19";" class, interface, or enum expected
public static int gcd(int a, int b) {
              ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-13T03_51_46.434Z";"hw4.java";"24";" class, interface, or enum expected
    }
    ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-13T03_51_46.434Z";"hw4.java";"29";" class, interface, or enum expected
    }
    ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-13T03_51_46.434Z";"hw4.java";"34";" class, interface, or enum expected
    }
    ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-13T03_51_46.434Z";"hw4.java";"39";" class, interface, or enum expected
    }
    ^
5 errors
"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-13T23_12_24.799Z";"hw4.java";"19";" class, interface, or enum expected
public static int gcd(int a, int b) {
              ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-13T23_12_24.799Z";"hw4.java";"24";" class, interface, or enum expected
    }
    ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-13T23_12_24.799Z";"hw4.java";"29";" class, interface, or enum expected
    }
    ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-13T23_12_24.799Z";"hw4.java";"34";" class, interface, or enum expected
    }
    ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-13T23_12_24.799Z";"hw4.java";"39";" class, interface, or enum expected
    }
    ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-13T23_12_24.799Z";"hw4.java";"50";" class, interface, or enum expected
public static int sumBetween(int a, int b) {
              ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-13T23_12_24.799Z";"hw4.java";"54";" class, interface, or enum expected
    }
    ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-13T23_12_24.799Z";"hw4.java";"59";" class, interface, or enum expected
    }
    ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-13T23_12_24.799Z";"hw4.java";"68";" class, interface, or enum expected
public static int sumTo(int x) {
              ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-13T23_12_24.799Z";"hw4.java";"72";" class, interface, or enum expected
    }
    ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-13T23_12_24.799Z";"hw4.java";"76";" class, interface, or enum expected
    }
    ^
11 errors
"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-14T02_15_19.589Z";"hw4.java";"19";" class, interface, or enum expected
public static int gcd(int a, int b) {
              ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-14T02_15_19.589Z";"hw4.java";"24";" class, interface, or enum expected
    }
    ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-14T02_15_19.589Z";"hw4.java";"29";" class, interface, or enum expected
    }
    ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-14T02_15_19.589Z";"hw4.java";"34";" class, interface, or enum expected
    }
    ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-14T02_15_19.589Z";"hw4.java";"39";" class, interface, or enum expected
    }
    ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-14T02_15_19.589Z";"hw4.java";"50";" class, interface, or enum expected
public static int sumBetween(int a, int b) {
              ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-14T02_15_19.589Z";"hw4.java";"54";" class, interface, or enum expected
    }
    ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-14T02_15_19.589Z";"hw4.java";"59";" class, interface, or enum expected
    }
    ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-14T02_15_19.589Z";"hw4.java";"68";" class, interface, or enum expected
public static int sumTo(int x) {
              ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-14T02_15_19.589Z";"hw4.java";"72";" class, interface, or enum expected
    }
    ^
/"
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";"2020-10-14T02_15_19.589Z";"hw4.java";"76";" class, interface, or enum expected
    }
    ^
/"
