student;snapshot;datetime;exception;class;method;line;secondary_class;secondary_method;secondary_line
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-11T16_12_53.421Z;2020-10-11 16:12:53; java.lang.StackOverflowError;hw4;countWaysToClimb;17;hw4Test;test01;1092
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-11T17_51_44.597Z;2020-10-11 17:51:44; java.lang.StackOverflowError;hw4;countWaysToClimb;18;hw4Test;test01;1092
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-12T22_02_43.994Z;2020-10-12 22:02:43; java.lang.StackOverflowError;hw4;countWaysToClimb;120;hw4Test;test01;1092
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-12T23_52_25.139Z;2020-10-12 23:52:25; java.lang.StackOverflowError;hw4;countWaysToClimb;160;hw4Test;test01;1092
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-14T13_46_09.554Z;2020-10-14 13:46:09; java.lang.StackOverflowError;hw4;countWaysToClimb;130;hw4Test;test01;1092
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-10-15T02_00_00.375Z;2020-10-15 02:00:00; java.lang.StackOverflowError;hw4;gcd;29;hw4Test;testGcdAZero;137
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-10-15T02_00_00.375Z;2020-10-15 02:00:00; java.lang.StackOverflowError;hw4;gcd;29;hw4Test;testGcdBZero;184
0ca06f2f6d203a8c20ee3d33c95ce3a1c9550356;2020-10-13T04_33_49.196Z;2020-10-13 04:33:49; java.lang.StackOverflowError;hw4;log;39;hw4Test;testLogInexact;1469
0ca06f2f6d203a8c20ee3d33c95ce3a1c9550356;2020-10-13T04_33_49.196Z;2020-10-13 04:33:49; java.lang.StackOverflowError;hw4;log;39;hw4Test;testLogExact;1422
0ca06f2f6d203a8c20ee3d33c95ce3a1c9550356;2020-10-13T04_33_49.196Z;2020-10-13 04:33:49; java.lang.StackOverflowError;hw4;log;39;hw4Test;testLogInexactLarger;1516
0ca06f2f6d203a8c20ee3d33c95ce3a1c9550356;2020-10-13T04_33_49.196Z;2020-10-13 04:33:49; java.lang.StackOverflowError;hw4;log;39;hw4Test;testLog;1328
0f88be4b4d0a31605c539532fce08ed600190170;2020-10-11T22_48_04.425Z;2020-10-11 22:48:04; java.lang.ArithmeticException;hw4;gcd;12;hw4Test;testGcdBZero;184
0f88be4b4d0a31605c539532fce08ed600190170;2020-10-12T23_43_49.551Z;2020-10-12 23:43:49; java.lang.ArithmeticException;hw4;gcd;12;hw4Test;testGcdBZero;184
0f88be4b4d0a31605c539532fce08ed600190170;2020-10-13T12_23_52.619Z;2020-10-13 12:23:52; java.lang.ArithmeticException;hw4;gcd;12;hw4Test;testGcdBZero;184
1390c5e2235f7bf89d0e6af7570654c3fa81a50e;2020-10-14T14_46_55.269Z;2020-10-14 14:46:55; java.lang.StackOverflowError;hw4;sumOfDigits;43;hw4Test;testSumOfDigitsZero;851
1390c5e2235f7bf89d0e6af7570654c3fa81a50e;2020-10-14T14_46_55.269Z;2020-10-14 14:46:55; java.lang.StackOverflowError;hw4;sumOfDigits;43;hw4Test;testSumOfDigits;945
1390c5e2235f7bf89d0e6af7570654c3fa81a50e;2020-10-14T14_46_55.269Z;2020-10-14 14:46:55; java.lang.StackOverflowError;hw4;sumOfDigits;43;hw4Test;testSumOfDigitsSingle;898
1390c5e2235f7bf89d0e6af7570654c3fa81a50e;2020-10-14T14_46_55.269Z;2020-10-14 14:46:55; java.lang.StackOverflowError;hw4;sumOfDigits;43;hw4Test;testSumOfDigitsTriple;1039
1390c5e2235f7bf89d0e6af7570654c3fa81a50e;2020-10-14T14_46_55.269Z;2020-10-14 14:46:55;java.lang.NullPointerException;hw4Test;testSumTo;524;hw4Test;testSumTo;562
1390c5e2235f7bf89d0e6af7570654c3fa81a50e;2020-10-14T14_46_55.269Z;2020-10-14 14:46:55;java.lang.NullPointerException;hw4Test;testSumToOne;477;hw4Test;testSumToOne;515
1390c5e2235f7bf89d0e6af7570654c3fa81a50e;2020-10-14T14_46_55.269Z;2020-10-14 14:46:55; java.lang.StackOverflowError;hw4;sumOfDigits;43;hw4Test;testSumOfDigitsShort;992
