HASH_ID,HW00 Grade,HW01 Grade,HW02 Grade,HW03 Grade,HW04 Grade,HW05 Grade,HW06 Grade,HW07 Grade,HW08 Grade,HW09 Grade,HW Avg,Extensions,HW00 Late Days,HW01 Late Days,HW02 Late Days,HW03 Late Days,HW04 Late Days,HW05 Late Days,HW06 Late Days,HW07 Late Days,HW08 Late Days
ccc40dc59deb20f9d2aa162f32a897042c6ff8a1,100,91,100,88,92,100,86,100,100,,95.22222222,0,0,0,1,1,0,0,0,0,0
0ebaaad003868565710d1724cb582f41ed3aa598,100,97,97,98,100,100,89,100,70,,94.55555556,0,0,0,0,0,0,0,0,1,0
6e2f133cfae940ff672310c4ff824c7ef8eddf5b,94,88.5,61,43.5,92,92,75,26,64.4218,,70.71353333,0,0,0,0,1,0,0,1,2,0
c1c1f0a1fe3eee55891c2f5d9a921e0c0d7e1005,100,100,100,100,98,99,100,60,70,,91.88888889,0,0,0,0,0,0,0,0,0,0
1697b3ab314a9d0523a560fb62094ecc8b34c55f,100,55,96.5,100,92,98,91,95,70,,88.61111111,0,0,1,0,0,0,0,2,0,0
3822f5f3419d90d1d6abd392e34252539867b977,100,80,96,88,91,100,90,100,70,,90.55555556,0,0,0,0,2,0,0,2,0,1
76e5bea3c4541fc766a846f0c38cf2039d386777,98,85.5,93.5,90,100,100,96,60,70,,88.11111111,0,0,0,0,0,0,0,1,0,0
2c590c72ae298d0eb8d06d1eec09a191fb0dd949,100,100,102,94,94,96,92,94,70,,93.55555556,0,0,0,0,0,0,0,0,0,0
9f96ba0c0123a5b84d857f849a02a083a2fbba6b,100,95,99,100,96,99,100,95,97,,97.88888889,0,0,0,0,0,0,0,0,1,0
f0d807d1c94e746677fa7cce0b44b5f6534646bf,98,0,0,0,0,0,0,0,0,,10.88888889,0,0,0,0,0,0,0,0,0,0
199166168078f1058210fb1ed2f424a0fd37b7cf,100,92,98,96,98,100,92,60,100,,92.88888889,0,0,0,0,1,0,0,1,2,0
4bd4ddb37919a922702876e6b4117164cebbd9c3,100,88,67.5,0,0,0,0,0,0,,28.38888889,0,0,0,0,0,0,0,0,0,0
9736fd16bf30e047b764208a284acb5d921d6bc2,100,88,83,100,96,91,92,29.5,83.5312,,84.78124444,0,0,0,0,1,1,0,2,1,0
2ac9c3d2e2b75c154ab4ea8cc2bad9087497e779,100,99,100,100,98,100,93,60,70,,91.11111111,0,0,0,0,0,0,0,0,0,0
7898f7da218b0f5200fb859306a3262df425f955,98,92,97,100,100,96,100,96,100,,97.66666667,0,0,0,0,0,0,0,2,0,0
19a941d7bba8f42a286f5249358a6e49d06101cc,100,84.5,93.5,56.5,84,83,37,91.5,70,,77.77777778,0,0,0,0,1,0,0,2,0,0
d22db1196fa0ac6d2dcc909f62b7cc18b7780057,100,99,96,100,95,100,87,93,64.05,,92.67222222,0,0,0,0,2,0,0,2,0,0
4542f79f46c1e57daf32196b082986d08d6addda,100,86,99,100,96,100,84,100,86.8532,,94.65035556,0,0,0,0,1,0,0,0,0,0
20ece659e4a299b8be3c7d42aadc6edbdf358d08,100,95,96,95,98,100,96,100,97,,97.44444444,0,0,0,0,0,0,0,0,1,0
20ece659e4a299b8be3c7d42aadc6edbdf358d08,100,95,96,95,98,100,96,100,97,,97.44444444,0,0,0,0,0,0,0,0,1,0
1933eef337e0dad01d6f7dadc966c42abda9d7a5,100,102,99,99,93,100,97,100,70,,95.55555556,0,0,0,0,0,0,0,2,0,0
2d1e7e329d49709107b3cc3a54e79ecd10734d88,100,80,82.5,78,86,84,90,100,88.0906,,87.62117778,0,0,0,0,0,0,0,0,0,0
5c687dece2a95d9523cd5a32fc08c4818c0997e3,98,85,94,100,95,96,97,98,100,,95.88888889,0,0,0,0,0,0,0,2,2,1
dd20af6b99a464700a9fd8bf822fdfc87349b86e,98,90,84,96,100,95,99,60,90,,90.22222222,0,1,0,0,0,0,0,1,2,1
caf15d25f4ffc5852c73026246492a2fa5a850e2,100,96,97,102,98,100,100,100,70,,95.88888889,0,0,1,0,1,0,0,2,0,0
0c2eedb86a7888c7defd056d073fc040a338eec3,100,75.5,92,45.5,93,94,60,85,54.5126,,77.72362222,0,0,0,0,1,0,0,2,1,1
223e47f9cba0cfb0c1fd36160189bdcdd5fb3ae0,100,91,99,100,100,100,97,94,70,,94.55555556,0,0,0,0,0,0,0,0,0,0
dcab3e620c9948eb5e4c97ce51d2d1c15f305ea7,100,92,101,100,100,100,100,100,100,,99.22222222,0,0,0,0,1,0,0,0,0,0
dbb408c67891886f49ae26493267e9a783688783,100,96,100,100,98,98,84,60,96.2812,,92.47568889,15,0,0,8,7,0,0,2,1,0
b86d77222bb623cd350b6ffd4406591ce46dbbac,70,76,48,79,61.2,83,39,89,37.5156,,64.74617778,0,0,0,0,1,0,0,0,1,0
713df1cac37576e434673406ef25ccefacf3ae42,100,98.5,95.5,94,100,100,97,96,70,,94.55555556,0,0,0,0,0,0,0,0,0,0
a0cef07197a2d3435d6f57d5e90ea32e0e18d44e,96,57,71,15,94,18,0,33,40.8,,47.2,0,0,1,2,0,1,0,0,1,0
4128c27a816942a5871946e8691a7183b59429a9,100,87,97,100,100,100,92,94,70,,93.33333333,0,0,0,0,1,0,0,0,0,0
dadba0a4bc6afcbfc73b34c2aceff30b037b8901,84,20,95,43.5,0,0,0,0,0,,26.94444444,0,0,2,0,2,0,0,0,0,0
1b36a93c5733420b1086dbf81bc1e2af6678e411,100,83,81,82,0,0,0,0,0,,38.44444444,0,0,0,0,0,0,0,0,0,0
556833fe62464359391055ea2e18e848d48ad897,100,46.5,40,0,97,69,33,25,7.4376,,46.43751111,2,0,1,1,0,0,2,2,0,1
f9b3517060098c41fc220990ba51263fa76c34c5,100,97,100,100,100,100,100,100,100,,99.66666667,0,0,0,0,0,0,0,1,0,0
7a42f9b84fd3650124336c71bb93e1a69d8185ca,100,86,95.5,100,92,100,98,87,100,,95.38888889,0,0,0,0,0,0,0,2,0,0
8104778b1bd1b77512ff9909d781ad3440108d84,88,90,86,63.5,88.4,45,12,0,0,,52.54444444,0,0,0,0,0,0,0,0,0,0
74a099cc415506833fc2b1b731514bd28ac8098f,100,93,32,92,96,77,13,66,0,,63.22222222,2,0,0,2,0,2,2,0,0,0
0fc86b6a1afaad8cc203fac7e27c55097c310937,100,99,91,100,93,97,92,86,70,,92,0,2,0,0,1,0,0,1,0,0
ff3a194928159b2440a0a89750ae23fbf55f279c,70,74.5,79,54,92,100,44,87.5,70.4062,,74.60068889,3,0,0,1,1,0,1,2,1,1
7c8aacb1a1b8db047ada8a5e719c07f94ba911c0,100,98,97,100,100,100,97,100,70,,95.77777778,0,0,0,0,0,0,0,0,0,0
ba5871e0c8d519c35c818eb8cee94c7f49e7eaa4,100,97,81,98,98,100,97,98,100,,96.55555556,0,0,0,0,0,0,0,2,0,0
b9c2d0d2342a353dad6ddd8bb452466719b8f726,100,88,100,99,95,96,94,100,70,,93.55555556,0,0,0,0,0,0,0,0,0,0
1ad9edc00d9ebb99dd584bc7702d51428456e6db,98,96,86,55,94,92,63,86,59.7406,,81.08228889,0,0,0,0,1,0,0,0,0,0
2adc3e45fc704d8286cf0b39376b823871ed8484,100,98,90,100,98,92,100,60,70,,89.77777778,0,0,0,0,0,0,0,0,0,0
