student;snapshot;c_error;r_error;t_failed;t_success
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-13T23_36_17.319Z;0;0;0;36
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-13T23_40_35.184Z;0;0;0;36
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-13T23_40_50.656Z;0;0;0;36
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-13T23_41_09.942Z;0;0;0;36
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-13T23_41_16.960Z;1;0;0;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-13T23_53_21.573Z;0;0;0;36
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-13T23_54_09.258Z;0;0;0;36
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-13T23_54_15.380Z;0;0;0;36
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-14T00_10_48.254Z;1;0;1;13
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-15T18_28_07.083Z;0;0;0;36
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-15T20_20_54.861Z;0;0;0;13
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-15T20_21_09.835Z;0;0;0;36
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-15T20_36_44.598Z;0;0;0;21
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-16T01_04_24.612Z;1;0;0;17
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-17T02_01_17.394Z;0;6;6;30
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-18T00_42_25.202Z;0;0;0;36
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-18T00_49_10.947Z;0;0;0;36
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-18T00_50_17.327Z;0;0;0;36
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-18T00_52_24.648Z;0;0;0;36
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-23T15_36_21.358Z;0;0;0;36
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-23T15_58_24.986Z;0;0;0;36
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-23T16_14_25.701Z;0;0;0;36
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-23T16_18_23.588Z;0;0;0;36
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-18T01_28_41.001Z;1;0;0;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-18T01_28_56.114Z;0;0;0;36
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-18T01_30_15.506Z;1;0;0;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-18T01_30_45.854Z;0;0;0;13
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-18T01_34_27.996Z;1;0;0;17
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-18T01_48_56.664Z;0;0;0;17
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-18T01_52_05.251Z;2;0;0;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-18T02_27_32.013Z;1;4;4;4
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-18T02_28_43.974Z;0;0;0;17
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-18T02_45_28.040Z;0;0;14;22
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T16_47_26.342Z;2;0;0;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T17_08_49.020Z;2;0;0;0
