student;snapshot;c_error;r_error;t_failed;t_success
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;0;24;29;13
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_59.454Z;0;0;28;14
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_57_01.478Z;0;0;24;18
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T16_51_05.218Z;0;0;19;23
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T19_35_28.420Z;0;0;17;25
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T19_57_57.766Z;0;24;26;16
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-26T16_10_54.889Z;0;0;17;25
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-26T16_29_06.870Z;0;24;26;16
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-26T19_11_20.611Z;0;0;0;42
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-27T21_14_52.788Z;0;0;17;25
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-27T21_17_40.215Z;0;0;0;42
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-27T21_41_13.601Z;0;0;17;25
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-27T23_27_33.326Z;0;0;17;25
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-28T21_06_06.581Z;0;0;17;25
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-28T21_10_00.565Z;0;0;0;42
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-28T21_14_00.636Z;0;0;17;25
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-28T21_49_39.451Z;0;0;17;25
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-28T22_04_37.744Z;0;0;17;25
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-27T20_56_46.593Z;0;0;28;14
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-27T21_13_11.064Z;0;0;28;14
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-27T21_13_33.735Z;0;0;17;25
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-27T21_14_20.642Z;0;0;17;25
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-27T21_28_52.379Z;0;0;17;25
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-27T21_45_22.168Z;0;0;26;16
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-27T22_08_20.681Z;0;0;25;17
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-27T23_53_39.381Z;0;0;17;25
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-27T23_55_04.649Z;0;24;29;13
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-28T00_42_04.654Z;0;0;0;42
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-28T00_47_28.382Z;0;0;17;25
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-28T01_03_47.275Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-26T12_50_44.345Z;0;0;28;14
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-27T17_36_07.410Z;0;24;29;13
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-27T17_36_26.009Z;0;24;29;13
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-27T17_37_39.058Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-27T17_38_11.139Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-27T17_39_53.458Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-27T17_51_00.624Z;0;0;26;16
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-27T18_30_28.863Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-27T19_28_07.913Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-27T19_39_01.912Z;0;0;0;42
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-27T19_57_58.238Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-27T19_57_58.260Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-27T19_59_28.271Z;0;0;0;42
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-27T20_05_25.812Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-27T21_49_26.077Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-27T21_57_56.974Z;0;0;0;42
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-28T06_44_58.489Z;0;0;0;42
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-28T06_48_39.163Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-28T06_57_56.669Z;0;0;0;42
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-28T07_09_50.730Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-28T07_15_50.086Z;0;0;0;42
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-28T07_21_36.105Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-28T08_09_35.193Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-28T08_22_48.789Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-28T08_23_05.563Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-28T08_24_46.709Z;0;0;0;42
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-28T08_45_39.657Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-28T08_52_13.620Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-28T08_55_33.962Z;0;0;0;42
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-29T07_24_28.146Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-29T07_25_52.641Z;0;0;0;42
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-29T07_35_23.818Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-29T07_42_26.062Z;0;0;0;42
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-29T07_43_36.765Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-29T07_51_36.980Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-29T07_54_58.585Z;0;0;17;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-05T06_35_31.893Z;0;0;17;25
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-10-29T19_10_19.139Z;0;24;29;13
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-10-29T19_10_46.883Z;0;0;28;14
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-10-29T19_13_30.478Z;0;0;17;25
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-10-29T19_40_41.235Z;0;0;17;25
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-10-29T20_03_02.169Z;0;0;17;25
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-10-29T20_22_36.577Z;0;0;17;25
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-10-29T20_42_10.000Z;0;0;17;25
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-10-29T20_46_59.150Z;0;24;26;16
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-10-29T21_57_12.847Z;0;0;0;42
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-10-29T22_09_22.642Z;0;0;17;25
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-10-29T22_13_20.139Z;0;0;0;42
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-25T19_52_27.677Z;0;0;28;14
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-25T19_58_59.914Z;1;0;0;0
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-26T15_12_56.306Z;0;0;24;18
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-26T16_19_55.971Z;0;0;17;25
