student;snapshot;c_error;r_error;t_failed;t_success
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-09-05T21_56_27.640Z;1;0;0;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-09-05T21_58_45.783Z;0;0;0;1
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-09-05T22_02_19.551Z;0;0;1;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-09-05T22_10_52.760Z;0;0;1;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-09-05T22_13_03.239Z;0;0;1;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-09-05T22_30_55.611Z;0;0;1;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-09-06T13_12_39.216Z;0;0;1;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-09-06T13_57_45.566Z;0;0;1;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-09-07T15_14_49.242Z;0;0;1;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-09-08T18_33_34.947Z;0;0;1;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-09-08T19_03_22.323Z;0;0;1;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-09-09T14_28_23.060Z;0;0;1;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-09-09T14_45_18.011Z;0;0;1;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-09-10T20_26_06.033Z;0;0;1;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-09-15T04_59_01.607Z;1;0;0;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-09-15T05_03_03.495Z;0;0;0;1
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-09-15T05_04_20.057Z;0;0;1;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-09-15T05_04_29.529Z;0;0;1;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-09-15T05_14_42.627Z;0;0;1;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-09-15T05_30_56.245Z;0;0;1;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-09-16T01_17_26.300Z;0;0;1;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-09-16T14_09_22.823Z;0;0;1;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-09-16T14_37_38.281Z;0;0;1;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-09-16T15_02_17.093Z;0;0;1;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-09-16T18_06_29.108Z;0;0;1;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-09-16T20_10_55.588Z;0;0;1;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-09-10T21_12_27.316Z;1;0;0;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-09-10T21_15_54.440Z;0;0;0;1
025e11c5a647be6af45e5040241901ecd65080f3;2020-09-12T16_23_20.019Z;0;0;0;1
025e11c5a647be6af45e5040241901ecd65080f3;2020-09-12T16_25_35.267Z;0;0;1;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-09-12T16_25_49.216Z;0;0;1;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-09-12T16_35_12.879Z;0;0;1;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-09-12T16_37_08.798Z;0;0;1;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-09-13T10_36_39.694Z;0;0;0;1
025e11c5a647be6af45e5040241901ecd65080f3;2020-09-13T10_43_56.601Z;0;0;1;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-09-13T14_12_48.220Z;0;0;1;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-09-13T17_36_40.314Z;0;0;1;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-09-13T19_35_39.083Z;0;0;1;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-09-13T21_07_55.769Z;0;0;1;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-09-13T21_31_02.293Z;0;0;1;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-09-14T21_13_47.467Z;0;0;1;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-09-14T21_17_46.843Z;0;0;1;0
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-09-16T03_39_52.720Z;1;0;0;0
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-09-16T03_40_47.024Z;0;0;0;1
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-09-16T03_43_24.870Z;0;0;1;0
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-09-16T03_50_05.961Z;0;0;1;0
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-09-16T03_50_54.251Z;0;0;1;0
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-09-16T04_08_28.827Z;0;0;1;0
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-09-16T06_02_58.406Z;0;0;1;0
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-09-16T15_33_49.631Z;0;0;1;0
04810dc49618a521e56f3207dc85b34ec4e67375;2020-09-05T17_11_59.150Z;1;0;0;0
04810dc49618a521e56f3207dc85b34ec4e67375;2020-09-05T17_12_15.599Z;0;0;1;0
04810dc49618a521e56f3207dc85b34ec4e67375;2020-09-05T18_13_12.557Z;0;0;0;1
04810dc49618a521e56f3207dc85b34ec4e67375;2020-09-05T18_15_25.962Z;0;0;1;0
04810dc49618a521e56f3207dc85b34ec4e67375;2020-09-05T18_16_27.026Z;0;0;1;0
